{address space usage: 613294080 bytes/584MB} {rss usage: 176734208 bytes/168MB} [pid: 28080|app: 0|req: 2/2] 182.2.41.143 () {58 vars in 1878 bytes} [Wed Aug  4 14:41:38 2021] GET /a/3pl/dash/kpi/courier/WAX24815 => generated 233 bytes in 556 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 5)
{address space usage: 546185216 bytes/520MB} {rss usage: 168275968 bytes/160MB} [pid: 28136|app: 0|req: 1/3] 140.213.5.101 () {60 vars in 1897 bytes} [Wed Aug  4 14:41:39 2021] GET /a/3pl/dash/kpi/courier/WAX24046 => generated 240 bytes in 520 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 1)
announcing my loyalty to the Emperor...
Wed Aug  4 14:41:39 2021 - [emperor] vassal dcaf.ini is now loyal
{address space usage: 613294080 bytes/584MB} {rss usage: 177213440 bytes/169MB} [pid: 28136|app: 0|req: 2/4] 120.188.65.205 () {60 vars in 1817 bytes} [Wed Aug  4 14:41:40 2021] GET /a/query/dcafGetAppMenu => generated 9515 bytes in 136 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 2)
{address space usage: 680542208 bytes/649MB} {rss usage: 186167296 bytes/177MB} [pid: 28136|app: 0|req: 3/5] 125.165.71.175 () {56 vars in 1470 bytes} [Wed Aug  4 14:41:41 2021] GET /a/query/drpGetLogisticRole?login=WAX22283 => generated 1874 bytes in 137 msecs (HTTP/1.1 200) 3 headers in 218 bytes (0 switches on core 3)
{address space usage: 747651072 bytes/713MB} {rss usage: 194650112 bytes/185MB} [pid: 28136|app: 0|req: 4/6] 120.188.4.83 () {64 vars in 1569 bytes} [Wed Aug  4 14:41:42 2021] POST /a/auth => generated 565 bytes in 150 msecs (HTTP/1.1 200) 4 headers in 667 bytes (0 switches on core 4)
{address space usage: 814759936 bytes/777MB} {rss usage: 203030528 bytes/193MB} [pid: 28136|app: 0|req: 5/7] 182.2.38.159 () {64 vars in 1197 bytes} [Wed Aug  4 14:41:42 2021] POST /a/auth => generated 576 bytes in 145 msecs (HTTP/1.1 200) 4 headers in 678 bytes (0 switches on core 5)
{address space usage: 546185216 bytes/520MB} {rss usage: 168886272 bytes/161MB} [pid: 28120|app: 0|req: 1/8] 125.165.71.175 () {56 vars in 1448 bytes} [Wed Aug  4 14:41:42 2021] GET /a/3pl/csn?id=B1YCTRCM&detail=1 => generated 92496 bytes in 1220 msecs (HTTP/1.1 200) 3 headers in 221 bytes (0 switches on core 1)
announcing my loyalty to the Emperor...
Wed Aug  4 14:41:43 2021 - [emperor] vassal dcaf.ini is now loyal
{address space usage: 613294080 bytes/584MB} {rss usage: 181624832 bytes/173MB} [pid: 28112|app: 0|req: 2/9] 120.188.4.83 () {60 vars in 1859 bytes} [Wed Aug  4 14:41:42 2021] GET /a/3pl/dash/kpi/courier/WAX24045 => generated 241 bytes in 619 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 1)
announcing my loyalty to the Emperor...
Wed Aug  4 14:41:43 2021 - [emperor] vassal dcaf.ini is now loyal
{address space usage: 613294080 bytes/584MB} {rss usage: 181698560 bytes/173MB} [pid: 28112|app: 0|req: 2/10] 114.124.141.245 () {58 vars in 1440 bytes} [Wed Aug  4 14:41:42 2021] GET /a/3pl/dash/kpi/courier/WAX24531 => generated 233 bytes in 592 msecs (HTTP/1.1 200) 3 headers in 219 bytes (0 switches on core 5)
